Song,Artist,easy,basic,advanced,expert,master,remaster
Fragrance,Tsukasa (Arte Refact),4,5.0,8.5,11.7,13.1,13.5
Future,★STAR GUiTAR [cover],3,6.0,6.2,7.9,9.5,11.3
GEMINI -M-,Tatsh,4,6.0,7,10.2,12.7,-
GO BACK 2 YOUR RAVE,nora2r,3,5.0,7.7,10.5,12.9,-
GOODMEN,EBIMAYO,3,5.0,7.3,9.8,11.8,-
Garakuta Doll Play,t+pazolite,4,6.0,8.2,11,13.1,13.7
Garden Of The Dragon,Kai「Wonderland Wars」,1,3.0,6.2,10.2,11.8,-
Get Happy,Jimmy Weckl,3,5.0,7,10.8,12.3,-
Glorious Crown,xi,4,6.0,9.7,11.3,13.7,-
"Good Bye, Mr. Jack",sasakure.UK,3,5.0,8.2,11.5,12.9,-
Grip & Break down !!,SOUND HOLIC feat. Nana Takahashi,2,4.0,6.2,7.5,11.9,-
H-A-J-I-M-A-R-I-U-T-A-!!,777☆SISTERS,1,3.0,6.8,8.7,11.7,-
HERA,ルゼ,4,6.0,8.5,10.8,13.2,-
Hand in Hand,livetune,2,4.0,6,8.9,11.2,-
Heart Beats,向日葵×emon(Tes.),2,5.0,6.7,8.2,10.3,-
Heartbeats,RAMM feat. 若井友希,2,4.0,8,10,11.3,-
"Help me, ERINNNNNN!!",ビートまりお(COOL&CREATE),2,5.0,6.2,9.8,10.4,-
Her Dream Is To Be A Fantastic Sorceress,アミティ(CV 菊池志穂)「ぷよぷよ」,1,3.0,6,9.5,10.3,-
Hyper Active,HiTECH NINJA,4,6.0,8.3,11,12.9,-
I ♥,Junky,2,4.0,6.9,7.7,10.7,-
INFINITE WORLD,SOUND HOLIC feat. Nana Takahashi,2,4.0,7.4,9.2,11.7,-
Ievan Polkka,Otomania feat. 初音ミク,1,3.0,6.8,10.7,12.5,-
Ignis Danse,Yuji Masubuchi 「太鼓の達人」より,2,5.0,7.5,10.8,13.3,-
Ignite Infinity,「PHANTASY STAR PORTABLE2 ∞」,2,4.0,6.4,10.2,10.7,-
Imitation:Loud Lounge,Ino(chronoize),3,5.0,7,10.4,12.4,-
Imperishable Night 2006 (2016 Refine),ゆうゆ / 篠螺悠那,3,5.0,7.8,10.5,12.7,-
In Chaos,Hiro「Crackin'DJ」,2,5.0,6.8,8,10.7,13.7
Infantoon Fantasy,t+pazolite,3,5.0,7.8,9.3,12.5,-
Invitation,れるりり feat.ろん,2,4.0,6.8,8.3,11.7,-
